address,block,reserve0,reserve1
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99e68d,64ef5d5,754f38f01743cb0
07f068ca326a469fc1d87d85d448990c8cba7df9,99e768,4694e135b556980000,5f38ac4
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99e768,65020b8,7539979cdb946a8
12ede161c702d1494612d19f05992f43aa6a26fb,99e768,52b266c3682db34e,67dff7361f5aa5
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99e925,6322c4d,777206c3d7a46a8
ae461ca67b15dc8dc81ce7615e0320da1a9ab8d5,99f9eb,22b7370a90f62deda5c,262a9e188
30eb5e15476e6a80f4f3cd8479749b4881dab1b8,99fa17,2b56497b5000,2c720f9f6c00
bb2b8038a1640196fbe3e38816f3e67cba72d940,99fa7c,a7a01c,3bacb3b6b7fc37b1
9896bd979f9da57857322cc15e154222c4658a5a,99fb10,265997987,2386f26fc10000
9896bd979f9da57857322cc15e154222c4658a5a,99fb1a,24876c778,254db1c2244000
598e740cda7c525080d3fcb9fa7c4e1bd0044b34,99fb79,1211b923badeb4,121f6984502bfa
43ae24960e5534731fc831386c07755a2dc33d47,99fb7b,12568e3930cc72437,12a71059251fe8c
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99fb7e,b4cd6fca47a61cb6ba,e138f204eb222851
231f3381d10478bfc2ca552195b9d8b15968b60c,99fb84,1a784379d99db4200000,de0b6b3a7640000
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99fb90,b4e923b45a5c96db99,e15b744a7200995b
bb2b8038a1640196fbe3e38816f3e67cba72d940,99fb94,a7962a,3bb041355cc2b7b1
3b0f0fe3be830826d833a67cd1d7c80edf3fb49b,99fb95,ad78ebc5ac6200000,de0b6b3a7640000
67660e35fee501d0876b9493bb5ec90e10675957,99fb98,5f5e100,34bc4fdde27c0000
260e069dead76baac587b5141bb606ef8b9bab6c,99fb9d,1a901db3de65680000,63eb89da4ed0000
5d27df1a6e03254e4f1218607d8e073667ffae2f,99fba0,1,213df5c43c00
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99fba1,bba581d26a542040ae,e9bf77e75751c114
b784ced6994c928170b417bbd052a096c6fb17e2,99fba3,1eec034387c5efdb,429d069189e0000
a2107fa5b38d9bbd2c461d6edf11b11a50f6b974,99fba4,3a0c0ba56de13dc3a2,1121f4a9e048f74e8
260e069dead76baac587b5141bb606ef8b9bab6c,99fba5,19fcb8a67116601a2f,6623f9014ae0000
ecd65d5ff4d2c6511091fc8fe8765a237dbf1195,99fba5,989680,3cb71f51fc5580000
718dd8b743ea19d71bdb4cb48bb984b73a65ce06,99fba6,24150e3980040000,34f086f3b33b68400000
55d5c232d921b9eaa6b37b5845e439acd04b4dba,99fba8,1a8d925c09aca,5509b3cc99dfedf72
a5e79baee540f000ef6f23d067cd3ac22c7d9fe6,99fbab,7c2a17,73ef51488c51371
bb2b8038a1640196fbe3e38816f3e67cba72d940,99fbac,a732f2,3bd3c827cc83b7b1
